区分,タイトル,URL,CH名,登録者数,再生数,倍率,公開日,尺(秒),型,ヒットKW,軸,期間,言語,サムネURL
参考枠,Eat Curry Leaves for 14 Days – See What Happens to Your Body!,https://www.youtube.com/watch?v=B5sW3OhAsug,Dr. Jiya Health Guide,86,15398,179.05,2026-07-16,330,専門家の解説型,curry health benefits,参考枠(英語),-,en,https://i.ytimg.com/vi/B5sW3OhAsug/maxresdefault.jpg
参考枠,How To Eat RICE Without Spiking Blood Sugar (The Cooling Hack),https://www.youtube.com/watch?v=_AF-9HAxuXA,DIABETES Made Simple,85,7220,84.94,2025-11-12,502,専門家の解説型,blood sugar rice,参考枠(英語),-,en,https://i.ytimg.com/vi/_AF-9HAxuXA/maxresdefault.jpg
参考枠,Add THIS to Turmeric to Kill Inflammation FAST (NOT Black Pepper)| Boost Turmeric Power |Dr. Mandell,https://www.youtube.com/watch?v=gy3zUn9VaO0,Health DR ALISHA,1440,74270,51.58,2025-12-15,1232,専門家の解説型,turmeric benefits,参考枠(英語),-,en,https://i.ytimg.com/vi/gy3zUn9VaO0/maxresdefault.jpg
参考枠,The Best Rice For Diabetes! How to Eat Rice to Lower Blood Sugar,https://www.youtube.com/watch?v=rEG8YstHZlA,Coach Sophie Hung,566,27580,48.73,2025-09-17,438,専門家の解説型,blood sugar rice,参考枠(英語),-,en,https://i.ytimg.com/vi/rEG8YstHZlA/maxresdefault.jpg
参考枠,This 1 Spice DESTROYS Bad Gut Bacteria & REPLACES Probiotics,https://www.youtube.com/watch?v=RhAMw4IN8wM,Health Pulse,482,15305,31.75,2026-07-05,1421,専門家の解説型,spices gut health,参考枠(英語),-,en,https://i.ytimg.com/vi/RhAMw4IN8wM/maxresdefault.jpg
参考枠,"Eat Bread, Rice, Potatoes WITHOUT Blood Sugar Spikes",https://www.youtube.com/watch?v=EIb-xmln6jY,Dr. Kenji Sato,24900,494965,19.88,2026-05-09,1257,専門家の解説型,blood sugar rice,参考枠(英語),-,en,https://i.ytimg.com/vi/EIb-xmln6jY/maxresdefault.jpg
参考枠,I Tested 13 Indian Rices… One Crashed My Glucose. Two Did Nothing.,https://www.youtube.com/watch?v=BxoXmNdlhoQ,Sweetreactions,65600,1211812,18.47,2025-08-05,1068,専門家の解説型,blood sugar rice,参考枠(英語),-,en,https://i.ytimg.com/vi/BxoXmNdlhoQ/maxresdefault.jpg
参考枠,Add THIS To Turmeric To Kill Inflammation (Not Black Pepper) | Boost Turmeric Power || Dr. Mandell,https://www.youtube.com/watch?v=G1RuY-AZcIw,Science of Healing,2600,43840,16.86,2025-11-27,1236,専門家の解説型,turmeric benefits,参考枠(英語),-,en,https://i.ytimg.com/vi/G1RuY-AZcIw/maxresdefault.jpg
参考枠,"“Erase Dark Spots Naturally ✨ | DIY Turmeric, Honey &t Lemon Face Mask for Glowing Skin”",https://www.youtube.com/watch?v=aF8zD_4i12U,Princesshaircare,2040,26957,13.21,2025-09-27,525,専門家の解説型,ターメリック 効果,スパイス軸,-,en,https://i.ytimg.com/vi/aF8zD_4i12U/maxresdefault.jpg
参考枠,"EAT Bread, Potatoes, Rice (Carbs) WITHOUT blood sugar spikes!",https://www.youtube.com/watch?v=BxEUCTlXS9Q,"Dr. Dazer (Adaeze Ozoh, MD)",207000,2564265,12.39,2024-12-04,1150,専門家の解説型,blood sugar rice,参考枠(英語),-,en,https://i.ytimg.com/vi/BxEUCTlXS9Q/maxresdefault.jpg
参考枠,Never Eat Turmeric With These 3 Foods – It Can Cause Serious Health Problems,https://www.youtube.com/watch?v=jGTwIvHNx3o,ELDER'S INSIGHT,98000,886463,9.05,2025-03-31,1423,専門家の解説型,ターメリック 効果,スパイス軸,-,en,https://i.ytimg.com/vi/jGTwIvHNx3o/maxresdefault.jpg
参考枠,കറിവേപ്പിലയുടെ അത്ഭുത ഗുണങ്ങൾ | Curry Leaves Health Benefits in Malayalam,https://www.youtube.com/watch?v=D0DoPyoCAOQ,Moments by sakee,5120,45194,8.83,2026-08-27,7940,専門家の解説型,curry health benefits,参考枠(英語),-,en,https://i.ytimg.com/vi/D0DoPyoCAOQ/maxresdefault.jpg
参考枠,Just Turmeric Powder! Anthurium Grows Healthy and Blooms All Year,https://www.youtube.com/watch?v=Xz6bJTX13OM,Plant Care Garden,9480,76595,8.08,2026-07-16,810,専門家の解説型,ターメリック 効果,スパイス軸,-,en,https://i.ytimg.com/vi/Xz6bJTX13OM/maxresdefault.jpg
参考枠,How to CONSUME TURMERIC DAILY FOR MAXIMUM BENEFITS,https://www.youtube.com/watch?v=LCKhUv-9VR8,"SCImplify, PhD",358000,2844074,7.94,2024-09-24,330,専門家の解説型,turmeric benefits / ターメリック 効果,スパイス軸,-,en,https://i.ytimg.com/vi/LCKhUv-9VR8/maxresdefault.jpg
参考枠,How to Reduce INFLAMMATION Naturally! | Gut Health | Maharishi Ayurveda,https://www.youtube.com/watch?v=YBKcnNf3L2k,Maharishi Ayurveda,99200,771056,7.77,2025-09-29,572,専門家の解説型,spices gut health,参考枠(英語),-,en,https://i.ytimg.com/vi/YBKcnNf3L2k/maxresdefault.jpg
参考枠,Eggs and Jackfruit: Are these the Best Diabetic-Friendly Foods? Dr Anoop Misra,https://www.youtube.com/watch?v=pWOQC7rW77M,Health Wealth,138000,1043539,7.56,2026-06-13,4656,専門家の解説型,blood sugar rice,参考枠(英語),-,en,https://i.ytimg.com/vi/pWOQC7rW77M/maxresdefault.jpg
参考枠,Benefits Of Turmeric For Liver Health - HIDDEN SUPERFOOD!,https://www.youtube.com/watch?v=w40mDldBu94,Dr. Chen,320,2146,6.71,2026-03-22,242,専門家の解説型,turmeric benefits,参考枠(英語),-,en,https://i.ytimg.com/vi/w40mDldBu94/maxresdefault.jpg
参考枠,සුද්දො කහ වලට වහ වැටිලද? | The Hidden Power of Turmeric (Curcumin) | Sam's Talk,https://www.youtube.com/watch?v=xqEKN19ZX-c,Sam's Talk,44600,241033,5.40,2025-10-04,930,専門家の解説型,turmeric benefits,参考枠(英語),-,en,https://i.ytimg.com/vi/xqEKN19ZX-c/maxresdefault.jpg
参考枠,"[Gas Human] Making authentic curry with my junior, UTA-kun",https://www.youtube.com/watch?v=aVd-7PL4t2s,冨永愛 / Ai Tominaga,52200,251729,4.82,2026-08-31,1374,専門家の解説型,カレー粉,カレー軸,-,en,https://i.ytimg.com/vi/aVd-7PL4t2s/maxresdefault.jpg
参考枠,5-Minute Lentil Bread for Lowering Blood Sugar 🩸,https://www.youtube.com/watch?v=ds3vuIxWIik,Kochen Familie Cool,971000,4408626,4.54,2025-10-07,891,専門家の解説型,blood sugar rice,参考枠(英語),-,en,https://i.ytimg.com/vi/ds3vuIxWIik/maxresdefault.jpg
参考枠,Forget probiotics — This 1 spice flushes bad gut bacteria in 24 hours,https://www.youtube.com/watch?v=H6IjUuALAU8,Healthy Aging,49000,207845,4.24,2026-04-01,1089,専門家の解説型,spices gut health,参考枠(英語),-,en,https://i.ytimg.com/vi/H6IjUuALAU8/maxresdefault.jpg
参考枠,"EAT Bread, Rice (Carbs), Potatoes WITHOUT Blood Sugar Spikes!",https://www.youtube.com/watch?v=wPA2Q7lr8sU,Senior Health Blog,141000,597690,4.24,2025-11-11,1705,専門家の解説型,blood sugar rice,参考枠(英語),-,en,https://i.ytimg.com/vi/wPA2Q7lr8sU/maxresdefault.jpg
参考枠,"Gas, Bloating, and Rumbling? This Spice Saves Your Gut",https://www.youtube.com/watch?v=xNbpPSVpvmw,Ирина Шиманская l Школа нутрициологии Holistica,232000,945121,4.07,2026-05-10,417,専門家の解説型,spices gut health,参考枠(英語),-,en,https://i.ytimg.com/vi/xNbpPSVpvmw/maxresdefault.jpg
参考枠,Take HONEY with TURMERIC After 50 this what happen After Just 1 Week!,https://www.youtube.com/watch?v=wgxSjs8lilQ,One Small Jar,257000,970862,3.78,2024-09-20,1063,専門家の解説型,turmeric benefits,参考枠(英語),-,en,https://i.ytimg.com/vi/wgxSjs8lilQ/maxresdefault.jpg
参考枠,TURMERIC: Mga BENEPISYO at Epekto sa Kalusugan,https://www.youtube.com/watch?v=5jvy_9OXrtw,MedikoPh,156000,585029,3.75,2025-12-10,910,専門家の解説型,turmeric benefits,参考枠(英語),-,en,https://i.ytimg.com/vi/5jvy_9OXrtw/maxresdefault.jpg
参考枠,4 Spices that Prevent & Kill Cancer (Start NOW!),https://www.youtube.com/watch?v=g40_qAvjoFo,Dr. Amy - Cancer Researcher & Cancer Survivor,278000,1005192,3.62,2026-01-21,709,専門家の解説型,turmeric benefits,参考枠(英語),-,en,https://i.ytimg.com/vi/g40_qAvjoFo/maxresdefault.jpg
参考枠,"Eat Bread, Rice, Potatoes WITHOUT Blood Sugar Spikes",https://www.youtube.com/watch?v=Ed2kky2yClA,Leonid Kim MD,881000,3143271,3.57,2025-10-27,552,専門家の解説型,blood sugar rice,参考枠(英語),-,en,https://i.ytimg.com/vi/Ed2kky2yClA/maxresdefault.jpg
参考枠,The Best Rice For Diabetes! I Finally Found It!,https://www.youtube.com/watch?v=FcrAweFVE-I,Type One Talks,431000,1410094,3.27,2025-02-01,934,専門家の解説型,blood sugar rice,参考枠(英語),-,en,https://i.ytimg.com/vi/FcrAweFVE-I/maxresdefault.jpg
参考枠,How Much Does Eating Rice Raise Blood Sugar in Diabetes? | You'll Be Shocked by the Truth,https://www.youtube.com/watch?v=A3h0NGjooMA,AyurLife,9220,29224,3.17,2026-06-16,696,専門家の解説型,blood sugar rice,参考枠(英語),-,en,https://i.ytimg.com/vi/A3h0NGjooMA/maxresdefault.jpg
参考枠,"Moringa vs Turmeric: Best Superfood for Immunity, Energy & Anti-Inflammation",https://www.youtube.com/watch?v=tQhyokuDpcw,Health Daily Guide,469,1459,3.11,2025-09-24,1250,専門家の解説型,turmeric benefits,参考枠(英語),-,en,https://i.ytimg.com/vi/tQhyokuDpcw/maxresdefault.jpg
参考枠,Never Eat Turmeric With These 3 Foods - Deadly Food Combos with Turmeric,https://www.youtube.com/watch?v=htCyDqqIqUE,Health Guide,190000,467902,2.46,2025-04-01,1441,専門家の解説型,ターメリック 効果,スパイス軸,-,en,https://i.ytimg.com/vi/htCyDqqIqUE/maxresdefault.jpg
参考枠,What's the difference between cheap and expensive curry roux? A taste test revealed some surprisi...,https://www.youtube.com/watch?v=kos1kb0Oaeo,生活知恵袋,11300,27448,2.43,2026-05-08,348,専門家の解説型,カレールー 比較,カレー軸,-,en,https://i.ytimg.com/vi/kos1kb0Oaeo/maxresdefault.jpg
参考枠,"GAS, BLOATING, RUMBLING? This spice saves your gut",https://www.youtube.com/watch?v=UZkLN4XILC8,Доктор Булат Ибрагимов,66400,159134,2.40,2026-05-26,2677,専門家の解説型,spices gut health,参考枠(英語),-,en,https://i.ytimg.com/vi/UZkLN4XILC8/maxresdefault.jpg
参考枠,Stop Taking Fibre: This 1 Spice Flushes Bad Gut Bacteria Instantly | Dr Sebi,https://www.youtube.com/watch?v=qBAEZfqMUpI,HealthQuest,203000,482514,2.38,2026-03-27,981,専門家の解説型,spices gut health,参考枠(英語),-,en,https://i.ytimg.com/vi/qBAEZfqMUpI/maxresdefault.jpg
参考枠,Curry Leaves: The Superfood Your Body Needs! | Good Health Assamese,https://www.youtube.com/watch?v=hh9PkbtbUmU,GOOD HEALTH - ASSAMESE HEALTH VIDEOS,12100,28633,2.37,2026-07-20,531,専門家の解説型,curry health benefits,参考枠(英語),-,en,https://i.ytimg.com/vi/hh9PkbtbUmU/maxresdefault.jpg
参考枠,ਇਸ ਤਰੀਕੇ ਨਾਲ ਖਾਓ ਹਲਦੀ – ਫਾਇਦੇ 2000% ਵਧਣਗੇ | Turmeric Benefits ਸਿਕ੍ਰੇਟਸ || Healthy Duniya Punjabi,https://www.youtube.com/watch?v=DGpwKTUaPCg,Healthy Duniya Punjabi,29500,67543,2.29,2025-09-02,1310,専門家の解説型,turmeric benefits,参考枠(英語),-,en,https://i.ytimg.com/vi/DGpwKTUaPCg/maxresdefault.jpg
参考枠,3 Pagkain na 'Di Dapat Isinasabay sa Turmeric at 3 na Dapat Isabay Alamin Bakit!,https://www.youtube.com/watch?v=VABMOO8DVwE,Gintong Sustansya 🌿🍂,47900,105958,2.21,2025-09-14,1062,専門家の解説型,turmeric benefits,参考枠(英語),-,en,https://i.ytimg.com/vi/VABMOO8DVwE/maxresdefault.jpg
参考枠,Medicube Turmeric – Should You Buy or Bye?,https://www.youtube.com/watch?v=SBBmMuGZ89g,BME Kween,13900,29401,2.12,2025-12-07,868,専門家の解説型,ターメリック 効果,スパイス軸,-,en,https://i.ytimg.com/vi/SBBmMuGZ89g/maxresdefault.jpg
参考枠,🌿 सकाळी उपाशीपोटी हळदीचे पाणी प्यायल्यास काय होते? ११ जबरदस्त फायदे!|Turmeric Water Benefits #health,https://www.youtube.com/watch?v=X16FfEUmEds,Priyanka's Kitchen Tips,165000,324830,1.97,2026-09-02,786,専門家の解説型,turmeric benefits,参考枠(英語),-,other,https://i.ytimg.com/vi/X16FfEUmEds/maxresdefault.jpg
参考枠,3 Simple After‑Meal Habits to Control Blood Sugar Spikes (Doctor’s Guide),https://www.youtube.com/watch?v=ZTv-hZlhnqo,Dr Sumit Kapadia Vascular Surgeon,394000,650507,1.65,2025-12-13,507,専門家の解説型,blood sugar rice,参考枠(英語),-,en,https://i.ytimg.com/vi/ZTv-hZlhnqo/maxresdefault.jpg
参考枠,My ultimate anti-inflammatory bone broth for gut health and immunity,https://www.youtube.com/watch?v=4iswJTdV-oo,The Doctor's Kitchen,762000,1091636,1.43,2025-11-02,539,専門家の解説型,spices gut health,参考枠(英語),-,en,https://i.ytimg.com/vi/4iswJTdV-oo/maxresdefault.jpg
参考枠,சுகர் நோயாளிகள் பயமில்லாமல் சோறு சாப்பிட 8 டிப்ஸ்! Diabetes tips in Tamil,https://www.youtube.com/watch?v=ITvpLJV6xMY,Sri Parvathi Diabetic Hospital,334000,403351,1.21,2026-06-27,566,専門家の解説型,blood sugar rice,参考枠(英語),-,other,https://i.ytimg.com/vi/ITvpLJV6xMY/maxresdefault.jpg
参考枠,6 Best Foods to Reverse Diabetes & Lower Blood Sugar | Fit Tuber Hindi,https://www.youtube.com/watch?v=s3YzO0xO-mo,Fit Tuber Hindi,4700000,5596707,1.19,2025-03-28,1039,専門家の解説型,blood sugar rice,参考枠(英語),-,en,https://i.ytimg.com/vi/s3YzO0xO-mo/maxresdefault.jpg
参考枠,5 Easy Rice Hacks For Diabetics To Lower Blood Sugar Instantly | Doctor Explains,https://www.youtube.com/watch?v=Au0vG3qw4tU,Dr Rohini Patil,263000,290663,1.11,2025-10-17,661,専門家の解説型,blood sugar rice,参考枠(英語),-,en,https://i.ytimg.com/vi/Au0vG3qw4tU/maxresdefault.jpg
